GEO_ID,NAME,Population,Median Household Income,Poverty Rate,Median Age,Pct Bachelors Or Higher,Unemployment Rate,Pct Renter Occupied
0500000US12001,"Alachua County, Florida",281751,59659,19.7,32.2,47.7,4.3,45.933531957154
0500000US12003,"Baker County, Florida",28186,70833,13.1,38.1,15.3,4.3,16.79982245894363
0500000US12005,"Bay County, Florida",181368,70188,11.7,41.4,28.0,3.6,31.716545363777293
0500000US12007,"Bradford County, Florida",27888,59740,19.1,40.5,15.0,6.6,29.14103690685413
0500000US12009,"Brevard County, Florida",620533,75817,9.9,46.8,33.5,4.8,23.07921346307302
0500000US12011,"Broward County, Florida",1946127,74534,12.2,41.3,35.8,5.6,36.74009704125588
0500000US12013,"Calhoun County, Florida",13593,46901,21.2,41.8,13.1,4.1,23.113513513513514
0500000US12015,"Charlotte County, Florida",195083,66154,9.6,60.0,25.3,5.6,16.830708661417322
0500000US12017,"Citrus County, Florida",158693,55355,15.5,56.9,20.4,6.8,15.167644653591772
0500000US12019,"Clay County, Florida",223436,86094,9.1,40.2,28.7,3.8,23.75576403243759
0500000US12021,"Collier County, Florida",387681,86173,10.5,53.1,39.5,4.0,24.021085741637503
0500000US12023,"Columbia County, Florida",70755,55070,17.0,40.7,16.3,6.3,29.124251497005986
0500000US12027,"DeSoto County, Florida",34719,50868,23.1,42.8,11.0,8.6,28.689949431099876
0500000US12029,"Dixie County, Florida",16952,47655,19.3,45.8,8.1,5.1,16.166394779771615
0500000US12031,"Duval County, Florida",1007189,68447,14.6,36.7,33.1,4.5,41.93474338436932
0500000US12033,"Escambia County, Florida",323275,65715,14.5,38.1,28.9,5.9,36.0006859352103
0500000US12035,"Flagler County, Florida",121710,72923,9.4,52.6,30.4,3.7,18.47661841895976
0500000US12037,"Franklin County, Florida",12418,62734,17.3,49.2,25.3,6.9,22.77348515656771
0500000US12039,"Gadsden County, Florida",43642,46047,27.7,42.0,20.1,4.4,27.067030633909617
0500000US12041,"Gilchrist County, Florida",18494,61070,11.2,42.7,14.5,3.2,16.28815275567771
0500000US12043,"Glades County, Florida",12324,38905,21.2,45.8,12.7,6.2,20.307017543859647
0500000US12045,"Gulf County, Florida",14772,67361,11.6,47.3,24.5,3.2,19.74137931034483
0500000US12047,"Hamilton County, Florida",13445,47696,27.3,40.6,11.2,7.9,25.11467889908257
0500000US12049,"Hardee County, Florida",25508,54231,24.3,35.9,12.3,6.8,28.55915562101129
0500000US12051,"Hendry County, Florida",40798,53044,21.6,35.7,10.7,4.4,27.631956397016637
0500000US12053,"Hernando County, Florida",201512,63193,12.0,48.1,20.4,5.8,18.17515891934843
0500000US12055,"Highlands County, Florida",103808,55581,15.4,54.2,19.7,5.9,21.082645887295126
0500000US12057,"Hillsborough County, Florida",1489634,75011,13.2,37.8,37.2,4.5,38.935575212544606
0500000US12059,"Holmes County, Florida",19626,48236,14.4,42.4,12.1,4.4,23.267955411316496
0500000US12061,"Indian River County, Florida",163856,71049,11.4,55.0,33.4,5.3,20.66932572493304
0500000US12063,"Jackson County, Florida",47652,47327,18.8,42.9,14.6,4.7,25.472473294987672
0500000US12065,"Jefferson County, Florida",14713,56984,20.3,47.0,18.8,6.5,24.898678414096917
0500000US12067,"Lafayette County, Florida",8035,60692,17.8,41.8,7.9,6.3,18.59488354333715
0500000US12069,"Lake County, Florida",398696,69956,9.5,46.7,26.8,5.1,23.3523960018561
0500000US12071,"Lee County, Florida",792692,73099,11.7,49.3,30.8,4.2,26.01943752581449
0500000US12073,"Leon County, Florida",295335,65074,18.5,31.9,48.6,5.6,48.147472922691904
0500000US12075,"Levy County, Florida",44276,53805,17.2,47.1,16.2,3.8,20.15465064530485
0500000US12077,"Liberty County, Florida",7650,53824,20.8,39.1,15.8,6.8,20.47768206734534
0500000US12079,"Madison County, Florida",18113,48176,20.9,44.9,12.5,2.4,27.99426934097421
0500000US12081,"Manatee County, Florida",416020,75792,10.4,49.4,34.3,5.1,25.311565304087736
0500000US12083,"Marion County, Florida",387697,58535,14.6,48.2,22.4,5.2,23.31910686124809
0500000US12085,"Martin County, Florida",160464,80701,11.4,53.2,36.6,4.5,19.893836626363903
0500000US12086,"Miami-Dade County, Florida",2685296,68694,14.9,40.8,33.2,4.4,47.80686252662455
0500000US12087,"Monroe County, Florida",81840,82430,10.4,48.9,37.8,3.2,36.60987583020503
0500000US12089,"Nassau County, Florida",94653,88900,9.2,46.3,34.5,4.0,17.01563811922754
0500000US12091,"Okaloosa County, Florida",214281,79097,9.3,37.3,34.2,3.1,32.2456403123997
0500000US12093,"Okeechobee County, Florida",40249,52288,19.0,40.7,16.1,6.0,25.44281293211299
0500000US12095,"Orange County, Florida",1440471,77011,13.0,36.4,38.4,5.5,42.635294857410095
0500000US12097,"Osceola County, Florida",406943,68711,12.5,37.0,28.3,5.2,33.7692688311194
0500000US12099,"Palm Beach County, Florida",1507453,81115,11.1,45.4,39.6,5.4,30.136688032720716
0500000US12101,"Pasco County, Florida",588758,67384,11.1,43.7,28.0,4.9,24.496215087444533
0500000US12103,"Pinellas County, Florida",960565,70293,11.4,48.9,35.8,4.6,30.56076665359298
0500000US12105,"Polk County, Florida",760961,63644,14.7,39.6,22.6,4.4,29.98268526584804
0500000US12107,"Putnam County, Florida",74235,47256,23.9,45.0,14.1,7.1,27.386623164763456
0500000US12113,"Santa Rosa County, Florida",193719,88968,8.4,40.0,31.0,4.5,20.019649122807017
0500000US12115,"Sarasota County, Florida",449011,80633,8.2,57.3,39.7,3.7,23.662428285718455
0500000US12117,"Seminole County, Florida",474912,83030,9.2,39.8,42.4,4.1,34.239681546527436
0500000US12109,"St. Johns County, Florida",292243,106169,6.7,44.0,48.6,3.9,17.941319709263325
0500000US12111,"St. Lucie County, Florida",346237,69027,11.6,45.3,25.4,5.8,22.345031905195988
0500000US12119,"Sumter County, Florida",137536,73297,9.1,68.4,35.1,5.7,11.895549812521475
0500000US12121,"Suwannee County, Florida",44484,55479,14.2,42.5,16.4,5.7,25.483394359863816
0500000US12123,"Taylor County, Florida",21422,44985,17.3,43.8,15.1,5.1,27.367586844538373
0500000US12125,"Union County, Florida",15551,64922,18.7,40.1,10.0,3.3,26.407442748091604
0500000US12127,"Volusia County, Florida",568229,66581,12.2,46.6,27.2,4.0,27.19801513083624
0500000US12129,"Wakulla County, Florida",34608,74183,5.6,42.5,21.3,3.1,16.164765733978832
0500000US12131,"Walton County, Florida",79846,79281,11.4,43.8,34.2,5.2,22.845157536972962
0500000US12133,"Washington County, Florida",25259,52723,18.9,41.6,12.5,4.0,20.20038784744667
