"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0400000US12","Florida","8550911","21145","7726877","26035","10374","852","7716503","25860","7182835","27580","931712","9276","6520761","27283","471456","6910","506043","7598","26602","1539","6418","790","243269","4991","580765","9075",
"0500000US12001","Alachua County, Florida","112776","1105","99086","1594","165","98","98921","1616","93936","1637","9934","894","84674","1752","4475","533","7471","738","334","175","30","48","7040","906","6650","817",
"0500000US12003","Baker County, Florida","9012","295","7998","347","29","35","7969","348","7625","371","853","244","6712","430","311","141","763","259","21","36","0","28","207","126","807","257",
"0500000US12005","Bay County, Florida","76118","1106","69766","1081","101","67","69665","1084","66142","1105","11034","990","55671","1262","3064","424","4147","536","219","127","0","35","1848","276","4504","619",
"0500000US12007","Bradford County, Florida","9104","367","8055","416","32","30","8023","421","7573","463","1932","349","5248","464","380","186","979","282","54","48","16","32","93","62","956","264",
"0500000US12009","Brevard County, Florida","251889","1622","232178","2021","266","142","231912","2013","212934","2209","21119","1261","204899","2326","17294","1197","12723","1048","639","176","127","72","6528","661","13183","1036",
"0500000US12011","Broward County, Florida","749372","2712","682175","3474","654","339","681521","3492","639679","4026","73051","2258","593143","3442","36109","1907","48786","2210","1704","487","605","302","20195","1605","47002","2156",
"0500000US12013","Calhoun County, Florida","4625","225","3963","285","16","20","3947","286","3642","303","959","220","2542","276","246","100","421","149","41","35","0","23","148","64","514","157",
"0500000US12015","Charlotte County, Florida","87376","1263","79537","1358","123","76","79414","1361","72572","1352","11542","997","64735","1605","5824","555","5169","544","216","97","45","45","1838","340","6001","660",
"0500000US12017","Citrus County, Florida","69701","944","62569","1046","329","147","62240","1055","55437","1210","7883","689","51399","1176","6108","619","3922","506","439","153","103","88","1466","320","5666","613",
"0500000US12019","Clay County, Florida","81757","536","77207","776","28","41","77179","776","74277","851","8397","822","64691","1006","2366","386","7087","701","401","177","51","48","1173","389","3377","619",
"0500000US12021","Collier County, Florida","160867","1898","147789","2111","199","241","147590","2121","138529","2190","13595","1070","131078","2029","8092","832","7188","729","291","127","60","60","5574","654","7504","835",
"0500000US12023","Columbia County, Florida","26720","431","23275","547","77","55","23198","548","21241","654","5366","604","14300","659","1491","327","3437","459","250","146","155","147","651","217","2794","437",
