rank,NAME,priority,gap_score,need_score,unserved_people,coverage_gap,Population,Median Household Income,Poverty Rate,Median Age
1,"Miami-Dade County, Florida",0.8409251579835204,1.0,0.469750526611735,765971.6882584,0.28524665,2685296,68694,14.9,40.8
2,"Broward County, Florida",0.35472219947508393,0.35220253691657116,0.36060141211161373,270236.81899893295,0.138858779,1946127,74534,12.2,41.3
3,"Citrus County, Florida",0.30849515013599577,0.07972928960503582,0.842282158041569,61723.360193846005,0.388948222,158693,55355,15.5,56.9
4,"Gadsden County, Florida",0.3045501954824564,0.006500279260651976,1.0,5683.971437552,0.130240856,43642,46047,27.7,42.0
5,"Hamilton County, Florida",0.2895953939637318,0.004530895309485273,0.9547458908236404,4176.876471624999,0.3106639249999999,13445,47696,27.3,40.6
6,"Putnam County, Florida",0.28646547467323497,0.006468517951292286,0.9397917070244346,5659.665710159999,0.076239856,74235,47256,23.9,45.0
7,"Glades County, Florida",0.2859445118149029,0.0,0.9531483727163429,709.5538563359988,0.0575749639999999,12324,38905,21.2,45.8
8,"Madison County, Florida",0.26064912225916753,0.006035094109529672,0.8547485212749892,5327.982855911999,0.2941524239999999,18113,48176,20.9,44.9
9,"DeSoto County, Florida",0.25777332442392875,0.0014497113970127803,0.8558617548200661,1818.9630942809968,0.0523909989999999,34719,50868,23.1,42.8
10,"Dixie County, Florida",0.2570026352176028,0.010405655827805877,0.832395587127129,8672.608244976,0.511597938,16952,47655,19.3,45.8
11,"Marion County, Florida",0.25499621107833853,0.08147289281221334,0.6598839536992973,63057.67370572096,0.1626467929999999,387697,58535,14.6,48.2
12,"Calhoun County, Florida",0.24912789427087448,0.0021277275446723184,0.8254616166320129,2337.8231785979997,0.171987286,13593,46901,21.2,41.8
13,"Highlands County, Florida",0.24445147768563077,0.007845245789241822,0.7965326854438717,6713.22339392,0.064669615,103808,55581,15.4,54.2
14,"Jefferson County, Florida",0.2439703253961405,0.006295337497911367,0.7985452971586752,5527.137266769,0.375663513,14713,56984,20.3,47.0
15,"Taylor County, Florida",0.24261888541617582,0.015150817903801317,0.7733777096117164,12303.901103335998,0.5743581879999999,21422,44985,17.3,43.8
16,"Lee County, Florida",0.2416662093167979,0.138504405884403,0.482377083992386,106701.731127524,0.134606797,792692,73099,11.7,49.3
17,"Collier County, Florida",0.23902888457244093,0.1693619843379467,0.40158498511959423,130315.867477362,0.336142002,387681,86173,10.5,53.1
18,"Jackson County, Florida",0.23854470839512043,0.007319093969922282,0.7780711420539161,6310.579329648,0.132430524,47652,47327,18.8,42.9
19,"Sumter County, Florida",0.23787916100832834,0.03663820965994523,0.7074413808212223,28747.388381376,0.209017191,137536,73297,9.1,68.4
20,"Levy County, Florida",0.23611695583217374,0.016698244533983747,0.7480939488612838,13488.088109179998,0.304636555,44276,53805,17.2,47.1
21,"Hardee County, Florida",0.2264132492960595,0.0008993882670619497,0.7526122583637205,1397.821641244,0.054799343,25508,54231,24.3,35.9
22,"Pinellas County, Florida",0.22417979876975083,0.10940813765085604,0.4919803413805054,84435.4587959849,0.0879018689999999,960565,70293,11.4,48.9
23,"Hernando County, Florida",0.2219480554253216,0.07968394066586594,0.5538976565307181,61688.656367863994,0.306128947,201512,63193,12.0,48.1
24,"Franklin County, Florida",0.22015264310864635,0.010823282316247925,0.7085878182909093,8992.201982904,0.7241264279999999,12418,62734,17.3,49.2
25,"Liberty County, Florida",0.2189692200346794,0.005750139040267837,0.7164804090216397,5109.9175313999995,0.6679630759999999,7650,53824,20.8,39.1
26,"Washington County, Florida",0.21654549138773732,0.0025538684870865217,0.7158592781559225,2663.932705746,0.105464694,25259,52723,18.9,41.6
27,"Palm Beach County, Florida",0.21366015895158513,0.15913659370207878,0.34088181120043337,122490.76321426284,0.0812567709999999,1507453,81115,11.1,45.4
28,"Okeechobee County, Florida",0.21265782135934874,0.000273309585261812,0.7082216821655516,918.7073329059959,0.0228255939999999,40249,52288,19.0,40.7
29,"Hendry County, Florida",0.2108628363377193,0.005033379664663064,0.6911315685748505,4561.408721772,0.111804714,40798,53044,21.6,35.7
30,"Charlotte County, Florida",0.20935382416788,0.02015620593041249,0.6508149333886375,16134.335028091,0.082704977,195083,66154,9.6,60.0
31,"Columbia County, Florida",0.20668862126288953,0.02332900944664309,0.6345277155007979,18562.36141896,0.262346992,70755,55070,17.0,40.7
32,"Escambia County, Florida",0.2017323453252301,0.09831288204315608,0.44304442631673613,75944.67980789997,0.2349228359999999,323275,65715,14.5,38.1
33,"Holmes County, Florida",0.19856267480731177,0.004408297180314404,0.6515895559369723,4083.0567656219996,0.208043247,19626,48236,14.4,42.4
34,"Pasco County, Florida",0.19704854542837277,0.09766596326121892,0.42894123715173177,75449.61736004995,0.1281504749999999,588758,67384,11.1,43.7
35,"Bradford County, Florida",0.1948142861656709,0.0015475625927073235,0.6457699745025859,1893.8449091519972,0.0679089539999999,27888,59740,19.1,40.5
