name,0.3,0.5,0.7,0.9,best_rank,worst_rank,rank_swing
Miami-Dade County,5,1,1,1,1,5,4
Gadsden County,1,2,4,14,1,14,13
Broward County,38,22,2,2,2,38,36
Hamilton County,2,3,5,20,2,20,18
Glades County,3,4,7,22,3,22,19
Collier County,43,36,17,3,3,43,40
Citrus County,6,6,3,6,3,6,3
Palm Beach County,53,44,27,4,4,53,49
Putnam County,4,5,6,19,4,19,15
Lee County,33,31,16,5,5,33,28
Pinellas County,35,32,22,7,7,35,28
Madison County,7,7,8,25,7,25,18
Marion County,22,18,11,8,8,22,14
DeSoto County,8,8,9,27,8,27,19
Dixie County,9,9,10,23,9,23,14
Escambia County,41,40,32,9,9,41,32
Calhoun County,10,10,12,30,10,30,20
Pasco County,46,42,34,10,10,46,36
